mess,メコノプシス,「私、団長様を支えられるようになりたいの」,	136905/fkg_136905_hscene201,
mess,,真剣な表情で、こちらを見つめるメコノプシス。\nそう言ってくれる彼女の気持ちはありがたく、嬉しく思う。,	
mess,,喜びと感謝をメコノプシスに伝え、彼女の頭を優しく撫でる。,	
mess,メコノプシス,「んっ……なでなで、されるのは嬉しいけど……\n私はもっと、対等な関係がいい」,	136905/fkg_136905_hscene202,
mess,メコノプシス,「一人の女性として……団長様に相応しい自分になりたいの\nこの前は、たくさん素敵なことを教えてもらったから……\n今夜は、私にご奉仕させて！」,	136905/fkg_136905_hscene203,
mess,,彼女にそこまで想ってもらえるだけでも嬉しい。何よりせっかくのお誘いだ。\nありがたく、提案を受け入れさせてもらおう。,	
mess,,こちらからも頭を下げ、メコノプシスに身をゆだねることに決める。,	
mess,メコノプシス,「満足してもらえるように、一生懸命ご奉仕するわ\n最後まで、いっぱい気持ちよくなってね？団長様」,	136905/fkg_136905_hscene204,
effect,6,,	
image,hscene_r18/r18_136905_100,,	
effect,7,,	
mess,メコノプシス,「私が挿れるから……横になったまま、じっとしてて……んんっ」,	136905/fkg_136905_hscene205,
mess,,亀頭に触れた温かな感触。\nそのまま彼女は腰を下ろしていき、膣内に陰茎を埋め込んでいった。,	
mess,メコノプシス,「はぅう……少しずつ、硬いの中に入れて……ぁあっ……ふぅっ……\n団長様の全部、受け止めてあげるから……」,	136905/fkg_136905_hscene206,
mess,メコノプシス,「私も、早く……っ\n一番奥に、先っぽ届かせて……\n深いところで、繋がりたい……あぅううっ……」,	136905/fkg_136905_hscene207,
mess,,密着する膣肉の中に、陰茎が呑み込まれていく。\n膣奥まで早く肉棒を迎え入れるよう、膣粘膜が収縮して絡みついてきた。,	
mess,メコノプシス,「あぁっ……ふぅっ……お腹の奥、硬いのにピッタリくっついてる……\nこのまま、団長様の……一気に……\nふぁあっ、んんぅっ……ぁああああああ……っ！」,	136905/fkg_136905_hscene208,
mess,,腰を下ろしきり、メコノプシスは陰茎を根元まで呑み込んだ。\n膣奥を押し上げられた衝撃に悦ぶように、彼女の膣肉は活発に収縮する。,	
mess,メコノプシス,「私の中……団長様の形に、広がって……いっぱいになってるわ……\nきゅっきゅぅーって……嬉しそうに動いて、反応してるの……」,	136905/fkg_136905_hscene209,
mess,メコノプシス,「たくさん、感じてもらえるように……私、頑張るから……\nオチンチン、中でゴシゴシして……気持ちよくしてみせる……んんぅう……」,	136905/fkg_136905_hscene210,
mess,,メコノプシスの腰がゆっくりと動き始める。\nぎこちなく慣れていない腰づかいだが、\nこちらをリードしようと懸命に摩擦運動を繰り返していった。,	
mess,メコノプシス,「んぁあっ……あぁっ……んんっ……\n硬いの、お腹の中で……ぐりぐりって……んぁあ\nいっぱい、擦れるように……はぅっ……んぅうっ……」,	136905/fkg_136905_hscene211,
mess,メコノプシス,「自分で動くのって……こんなに、大変なのね……んんっ……ああぁっ……\nもっと上手に……オチンチン、ゴシゴシしないと……あぅうう……」,	136905/fkg_136905_hscene212,
mess,,こちらはしっかりと粘膜摩擦の刺激を感じている。\nそんなに気負う必要はないと、メコノプシスに優しい口調で告げた。,	
mess,,彼女の一生懸命な想いは、腰づかいと触れあう粘膜から伝わってきている。\nその気持ちを感じて膨れ上がった愛情が、快感に置き換えられていた。,	
mess,メコノプシス,「私が団長様を想うほど……気持ちよくなってる……\nふふっ……それならたくさん、感じてもらえてるはずよね……」,	136905/fkg_136905_hscene213,
mess,メコノプシス,「だって私、こんなに……んんぅ……んぁあっ……ぁああっ……\nこんなに腰、振ってしまうくらい……団長様のこと、愛しているもの……」,	136905/fkg_136905_hscene214,
mess,,自信がついたのか、メコノプシスの摩擦運動が大胆になっていく。\nまだぎこちさなはあるが、先ほどよりもスムーズな動作で陰茎を刺激していく。,	
mess,メコノプシス,「はぁっ……あぁっ……あぅうっ……ああぁっ……\nどう……？私の中、ちゃんと気持ちいい……？\nああっ、ふぅぅっ……んんっ……\n大好きな人のオチンチンに……上手に、ご奉仕できてる……？」,	136905/fkg_136905_hscene215,
mess,,分かりきった質問だ。気持ちいいに決まっている。\nよりこちらへの愛情が増した彼女の摩擦運動によって、\n昂ぶりと快感が引き上げられていく。,	
mess,メコノプシス,「んぁあんっ……団長様に、気持ちいいって……喜んでもらえて……\n身体……とっても熱くなってきちゃった……んぅうっ……」,	136905/fkg_136905_hscene216,
