mess,,それは、なんてことのない会話から始まったことだった。,	
mess,ブロワリア,「……なるほど、君はそう思うのか\nしかし、それだけで私の意見は変わらない」,	155605/fkg_155605_hscene001,
mess,ブロワリア,「恋愛など、粘膜が生んだ欺瞞だ\n繁殖行為を正当化するための理由付けでしかない」,	155605/fkg_155605_hscene002,
mess,,ブロワリアは、先ほどから恋愛そのものを否定している。\nだが、これは彼女が素直になれていないだけだ。,	
mess,,言わば照れ隠し。\n彼女の素顔を知っている者ならわかる。,	
mess,ブロワリア,「第一、恋愛感情などなくとも性交は可能だ\n子を残すという理由があれば、それで十分のはず」,	155605/fkg_155605_hscene003,
mess,,そこまで言い切るのならば試してみようか。\n提案すると、ブロワリアは途端に焦りを見せた。,	
mess,ブロワリア,「こ、ここで君とセックスに及ぶと言うのか！？\n私はまだ子を産む気はないのだが……\nしかし、この提案に乗らなければ私の理屈は通せない……」,	155605/fkg_155605_hscene004,
mess,ブロワリア,「仕方ない、君との性交に応じてやろう\nなに、ちょっと身体を差し出すだけだ\n私にとっては造作もない……」,	155605/fkg_155605_hscene005,
mess,,顔を真っ赤にしつつ、渋々といった様子でブロワリアは提案に応じた。,	
effect,6,,	
image,hscene_r18/r18_155605_000,,	
effect,7,,	
mess,ブロワリア,「も、もういじくらなくていいだろう……\n性交に必要な愛液……いや、膣分泌液は足りているはずだ」,	155605/fkg_155605_hscene006,
mess,,身体を火照らせているブロワリア。\n気持ちよくなっているのは火を見るより明らかだ。\nなにより、すでに何度か果てかけている。,	
mess,ブロワリア,「さっさと挿入するがいい\nサクっと射精してすぐに終わらせるんだ」,	155605/fkg_155605_hscene007,
mess,ブロワリア,「恋愛感情など不要だと証明するためだけの性交だ\n短く終わらせなければ時間がもったいない」,	155605/fkg_155605_hscene008,
mess,,ブロワリアとの行為がすぐに終わってしまう方がもったいない。\nできる限り楽しもうと決め、ゆっくり膣口を開く。,	
mess,ブロワリア,「んあっ、あぁ……広げ、られて……」,	155605/fkg_155605_hscene009,
